Title type,IMDb Rating,Runtime (mins),Year,Num. Votes
Feature Film,7.7,120,2012,465226
Feature Film,7.9,109,2008,255384
Feature Film,8.9,96,1957,467681
Feature Film,8,96,2013,58824
Feature Film,7.2,103,2009,75450
TV Series,8.8,54,2015,234408
TV Series,8.2,60,2015,27575
Feature Film,8.1,121,2014,716130
Feature Film,6.7,123,2014,318129
Feature Film,7.4,86,2012,11024
Feature Film,6.6,93,2005,192915
Feature Film,8.1,149,2014,601539
Feature Film,8.1,107,1999,725036
Feature Film,7.4,126,2008,11793
Feature Film,7.3,99,2009,29925
Feature Film,8.1,106,2003,27644
Feature Film,7.8,81,1998,164136
Feature Film,7.6,94,2010,285315
Feature Film,8.1,121,2004,272388
Feature Film,5.9,124,2000,50364
Feature Film,6.5,122,2013,13239
Feature Film,8.2,129,2009,138054
Feature Film,7.2,86,2003,38855
Feature Film,8.5,92,2009,41334
Feature Film,7.5,84,1998,145267
Feature Film,7.7,135,2002,152159
Feature Film,7.6,107,2008,83172
Feature Film,6.8,97,1999,79097
Feature Film,6.6,102,2012,127152
Feature Film,6.8,96,2002,99571
Feature Film,8.3,210,2004,61291
Feature Film,7.2,112,2010,25361
Feature Film,6.6,102,2006,114134
Feature Film,7.3,147,2009,54131
Feature Film,6.1,86,2004,709
Feature Film,8.6,169,2014,984337
Feature Film,9,152,2008,1730682
Feature Film,8.8,148,2010,1521564
Feature Film,8.8,139,1999,1395147
Feature Film,8.4,122,1999,847957
Feature Film,8.5,164,2012,1181733
Feature Film,8.5,151,2006,903427
Feature Film,8.1,113,2001,598815
Feature Film,8.5,130,2006,876178
Feature Film,8.7,136,1999,1257527
Feature Film,8.7,146,1990,753015
Feature Film,8.6,106,1995,765644
Feature Film,8.6,127,1995,1060878
Feature Film,8.4,102,2000,591944
Feature Film,8.6,119,1998,807640
Feature Film,8.3,140,2005,1013509
Feature Film,8,108,2010,565120
Feature Film,8.6,112,2011,529129
Feature Film,7.3,115,2013,474453
Feature Film,8.3,136,1971,577553
Feature Film,7.8,93,2008,493613
Feature Film,8.5,113,2000,873164
Feature Film,8.7,130,2002,549579
Feature Film,7.5,172,2012,291466
Feature Film,8.4,120,2003,370255
Feature Film,8.6,116,1997,438420
Feature Film,8.2,132,2005,818791
Feature Film,7.9,112,2004,367258
Feature Film,8,129,1995,475961
Feature Film,7.4,105,2011,431009
Feature Film,8.3,138,1997,426096
Feature Film,8.2,116,2008,577802
Feature Film,7.8,129,1997,269512
Feature Film,8,107,2008,315050
Feature Film,7.5,144,1997,265556
Feature Film,7.8,106,1997,226450
TV Series,9,24,2006,120624
Feature Film,7,96,2008,254130
Feature Film,7.3,96,2006,194946
Feature Film,7.2,110,2012,190997
Feature Film,6.8,123,2008,194518
Feature Film,7.9,157,1999,136128
Feature Film,7.6,69,1998,67524
Feature Film,7.5,129,2005,113601
Feature Film,8.1,83,2013,47513
Feature Film,7.5,107,2002,266834
Feature Film,8.2,170,1995,443872
Feature Film,7.1,101,2011,192270
Feature Film,7.1,120,1998,196376
Feature Film,7.4,133,2010,149582
Feature Film,8.1,143,2012,1022402
Feature Film,8.2,107,1998,426904
Feature Film,8.2,163,2010,3889
Feature Film,7.5,127,2004,27396
Feature Film,7.1,192,1995,24496
Feature Film,7.4,150,2008,30338
Feature Film,6.7,86,2007,131590
Feature Film,8.2,117,1982,476015
TV Series,8.5,44,2005,345402
Feature Film,7.3,128,2004,313761
TV Series,8.4,44,2013,72863
Feature Film,7.6,162,2009,401145
Feature Film,7.8,110,2006,266873
Feature Film,7.7,117,2006,621940
Feature Film,7.8,116,2001,413149
Feature Film,7.4,104,2000,465448
Feature Film,7.8,101,2003,329242
Feature Film,6.6,149,2006,327139
Feature Film,6.6,151,1998,329560
Feature Film,7.9,136,2005,191857
Feature Film,6.9,122,2007,262875
Feature Film,7.2,113,2007,143582
Feature Film,6.5,125,2004,291538
Feature Film,7.8,101,2006,364484
Feature Film,7.8,108,2004,361713
Feature Film,7.6,124,2001,202311
Feature Film,7.6,103,2005,180599
Feature Film,7.1,92,2008,89254
Feature Film,6.4,81,1999,194783
Feature Film,7.4,109,2009,274940
Feature Film,6.5,120,2005,359214
Feature Film,7.6,164,2005,180150
Feature Film,6.1,133,2002,172597
Feature Film,7.8,127,1997,229856
Feature Film,6.4,128,1999,159948
Feature Film,6.9,101,2009,74492
Feature Film,7.6,118,1999,79094
Feature Film,7.1,100,2006,91136
Feature Film,7.2,104,1995,141641
Feature Film,6.2,94,2009,111285
TV Series,9.1,44,2002,194391
Feature Film,7.3,119,2007,135981
Feature Film,6.8,95,2002,27355
Feature Film,7.6,110,1999,7649
Feature Film,6.7,101,2002,24910
Feature Film,7.3,107,1994,12631
Feature Film,5.6,94,2002,51764
Feature Film,6.3,90,2003,5197
Feature Film,6.4,108,2011,78061
Feature Film,5.9,91,2004,117808
Feature Film,6.6,99,2009,161728
Feature Film,6.8,85,1991,85151
Feature Film,7.3,96,1998,51935
Feature Film,7.6,130,2003,90389
Feature Film,7.2,128,2010,134844
Feature Film,6.4,83,1994,78583
Feature Film,2.3,96,2005,38036
Feature Film,7.2,129,2009,75332
Feature Film,7,99,1999,63516
Feature Film,4.9,98,2001,43823
Feature Film,7.7,121,2003,116719
Feature Film,7.9,97,2004,45370
Feature Film,7.8,120,2001,79888
Feature Film,5.8,98,2003,91155
Feature Film,4,89,2000,1573
TV Series,8.6,44,2010,667356
Feature Film,8.7,121,1977,942753
TV Series,8.4,22,2007,548436
TV Series,9.2,88,2010,532982
TV Series,9.5,49,2008,930404
Feature Film,8.4,131,1983,709658
TV Series,8.7,44,2011,255976
Feature Film,8.2,131,1988,611321
TV Series,8.4,55,2011,238987
TV Series,9,51,2013,333202
Feature Film,8.8,124,1980,869404
TV Series,8.4,22,2005,464917
Feature Film,8.8,178,2001,1276681
Feature Film,9.3,142,1994,1746596
Feature Film,7.7,194,1997,815980
TV Series,9.1,55,2014,342807
Feature Film,9.2,175,1972,1193119
TV Series,9.4,59,2002,198670
Feature Film,8.2,180,2013,820716
Feature Film,7.9,169,2012,652300
Feature Film,8.8,142,1994,1300795
Feature Film,7.9,161,2013,498101
Feature Film,8.9,154,1994,1367767
Feature Film,8.3,153,2009,919423
Feature Film,8.6,169,1998,913660
Feature Film,7,124,2012,466113
Feature Film,8.5,189,1999,816184
Feature Film,8.9,201,2003,1254422
Feature Film,8.5,115,1981,681353
TV Series,8.4,22,2001,199204
Feature Film,8.4,178,1995,759892
TV Series,8.9,47,1990,114829
Feature Film,8.6,110,1994,752008
Feature Film,8.4,165,2012,994391
Feature Film,8.2,94,1996,485670
Feature Film,7.2,142,2012,717099
Feature Film,8.1,122,2007,635158
Feature Film,7.9,162,2009,908960
Feature Film,8.3,116,1987,502510
Feature Film,8.3,126,1997,628609
Feature Film,7.9,116,2007,362324
Feature Film,8,144,2006,482925
Feature Film,8.4,146,1980,633068
TV Series,8.4,44,2001,150250
Feature Film,8.7,179,2002,1136343
Feature Film,8,143,2003,834015
Feature Film,8.5,116,1985,760023
Feature Film,8.3,108,2004,690756
Feature Film,8.1,138,2010,818621
Feature Film,8,126,2013,372127
Feature Film,7.8,100,2011,445255
Feature Film,7.8,100,2009,596608
Feature Film,7.8,143,2012,534456
Feature Film,8.3,104,2000,618761
Feature Film,8.5,88,1994,670663
Feature Film,9,202,1974,818863
Feature Film,8.2,117,1998,556199
Feature Film,7.7,117,2010,445813
Feature Film,7.6,113,2007,431036
Feature Film,8,124,2005,671462
Feature Film,8.4,99,1992,687750
Feature Film,8.1,158,2007,386609
Feature Film,8.2,118,2006,482599
Feature Film,8,141,2002,554571
Feature Film,7,130,2012,238999
Feature Film,7.1,124,1990,276402
Feature Film,7.6,118,1984,340623
Feature Film,7.3,159,1999,233199
Feature Film,8.2,148,2007,442073
Feature Film,8.1,103,1998,692651
Feature Film,7.6,102,2000,368617
Feature Film,8,122,1973,291690
Feature Film,7.4,119,2012,440213
Feature Film,8.3,115,2012,180633
Feature Film,8.2,135,2001,634682
TV Series,8.7,44,2004,123796
Feature Film,8.6,175,1968,223705
Feature Film,8.3,149,1968,442726
Feature Film,8.2,100,2003,720505
Feature Film,7.7,144,2001,299387
Feature Film,7.9,126,2008,715364
Feature Film,7.7,157,2007,315080
Feature Film,8.3,127,1989,532499
Feature Film,8,138,2003,346138
Feature Film,7.1,111,2010,243906
Feature Film,8.1,111,2003,759621
Feature Film,7.7,95,2009,387123
TV Series,8.5,22,1999,160365
Feature Film,7.6,125,2010,287086
Feature Film,7.6,146,2013,511238
Feature Film,7.7,122,2001,314136
Feature Film,6.1,183,2001,260532
Feature Film,7.7,101,2004,289262
Feature Film,7.6,129,2006,279264
Feature Film,7.7,120,2010,493847
Feature Film,8.4,122,2001,551947
Feature Film,7.6,99,2009,86652
Feature Film,8,119,2005,247169
Feature Film,7.1,169,2007,483911
Feature Film,8,107,1984,619403
Feature Film,7.8,166,2008,471240
Feature Film,7.8,91,2013,600732
Feature Film,7.4,157,2012,221219
Feature Film,7.3,138,2012,270146
Feature Film,7.7,145,2002,410765
Feature Film,8.5,137,2006,268415
Feature Film,8.5,137,1991,767849
Feature Film,8.3,131,1992,286557
Feature Film,8.5,95,1964,352900
Feature Film,8,120,2008,657478
Feature Film,7.7,88,2009,397445
Feature Film,6.7,109,2011,311872
Feature Film,7.2,128,2007,341489
Feature Film,7.2,129,1997,225474
Feature Film,7.6,113,2002,305357
Feature Film,8.2,178,1995,345032
Feature Film,6.2,122,2008,341749
Feature Film,8.3,156,2004,256189
Feature Film,7.6,128,1995,305411
Feature Film,7,85,2008,305090
Feature Film,8.1,132,2004,497622
Feature Film,8.2,109,1982,268505
Feature Film,6.9,97,1999,151928
Feature Film,8.3,96,2009,692375
Feature Film,7.2,101,2007,547262
Feature Film,7.5,93,2011,391438
Feature Film,6.9,98,2011,360665
Feature Film,8,118,2010,519174
Feature Film,6.9,126,2006,263524
Feature Film,7.7,103,2004,307667
Feature Film,7.6,162,1990,277311
Feature Film,6.8,106,2012,272798
Feature Film,8,143,2006,411233
Feature Film,7.4,149,1996,102553
Feature Film,8,181,1990,191395
Feature Film,7.7,113,2004,367374
Feature Film,8,112,2009,543844
Feature Film,7.7,146,2004,272689
Feature Film,7,126,2006,247644
Feature Film,7.6,110,2006,302396
